path,module,is_test,has_main_guard,cli_frameworks,static_inbound_count,non_test_static_inbound_count,static_outbound_count,workflow_reference_count,dynamic_import_indicator_count,execution_reference_count,test_reference_count,supported_root_count,reachable_from_supported_static_root,zero_static_inbound,authority_profile,disposition
domain/current_fotmob_utc_native_current_asof_elo_only.py,domain.current_fotmob_utc_native_current_asof_elo_only,False,False,,4,2,4,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_utc_native_current_asof_xg.py,domain.current_fotmob_utc_native_current_asof_xg,False,False,,9,4,3,0,0,0,5,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_fotmob_utc_native_shadow_prediction.py,domain.current_fotmob_utc_native_shadow_prediction,False,False,,9,5,9,0,0,0,4,2,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_all_market_portfolio.py,domain.current_shadow_all_market_portfolio,False,False,,5,3,8,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_all_market_price_all.py,domain.current_shadow_all_market_price_all,False,False,,5,3,6,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_all_market_router.py,domain.current_shadow_all_market_router,False,False,,6,2,4,0,0,0,4,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_all_market_runner.py,domain.current_shadow_all_market_runner,False,False,,15,6,9,0,0,1,9,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_all_market_share_code.py,domain.current_shadow_all_market_share_code,False,False,,4,1,5,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_elo_expectation_challenger.py,domain.current_shadow_elo_expectation_challenger,False,False,,2,1,2,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_fixture_date_request.py,domain.current_shadow_fixture_date_request,False,False,,4,1,0,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_fixture_identity_aliases.py,domain.current_shadow_fixture_identity_aliases,False,False,,5,3,0,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_fixture_identity_run199_overlay.py,domain.current_shadow_fixture_identity_run199_overlay,False,False,,3,1,2,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_fixture_identity_v2.py,domain.current_shadow_fixture_identity_v2,False,False,,8,3,1,0,0,0,5,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_nonlegacy_history.py,domain.current_shadow_nonlegacy_history,False,False,,2,1,6,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_catalog_fanout_reconciliation.py,domain.current_shadow_sportybet_catalog_fanout_reconciliation,False,False,,11,6,5,0,0,0,5,1,True,False,UNKNOWN,UNCLASSIFIED
